#options: 1920x1080 fps=60/1 timebase=1/60 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=18 lookahead_threads=6 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=3 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=50 rc=crf mbtree=1 crf=23.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 vbv_maxrate=11318 vbv_bufsize=22636 crf_max=0.0 nal_hrd=none filler=0 ip_ratio=1.40 aq=1:1.00
in:0 out:0 type:I dur:2 cpbdur:2 q:31.43 aq:23.58 tex:776444 mv:147833 misc:6619 imb:8160 pmb:0 smb:0 d:- ref:;
in:3 out:1 type:P dur:2 cpbdur:2 q:31.43 aq:24.97 tex:204643 mv:25816 misc:5301 imb:741 pmb:2625 smb:4794 d:- ref:0 ;
in:1 out:2 type:B dur:2 cpbdur:2 q:31.43 aq:30.91 tex:31739 mv:13191 misc:2990 imb:55 pmb:1111 smb:6994 d:s ref:0 ;
in:2 out:3 type:b dur:2 cpbdur:2 q:31.43 aq:31.22 tex:21420 mv:11290 misc:2770 imb:42 pmb:876 smb:7242 d:- ref:0 ;
in:6 out:4 type:P dur:2 cpbdur:2 q:31.43 aq:24.98 tex:203569 mv:25806 misc:5257 imb:615 pmb:2628 smb:4917 d:- ref:0 ;
in:4 out:5 type:B dur:2 cpbdur:2 q:31.43 aq:27.29 tex:649 mv:2950 misc:2257 imb:10 pmb:1050 smb:7100 d:s ref:0 ;
in:5 out:6 type:b dur:2 cpbdur:2 q:31.43 aq:32.11 tex:25970 mv:13298 misc:2676 imb:49 pmb:914 smb:7197 d:- ref:0 ;
in:10 out:7 type:P dur:2 cpbdur:2 q:31.43 aq:25.06 tex:254418 mv:28943 misc:5143 imb:932 pmb:2645 smb:4583 d:- ref:0 ;
in:8 out:8 type:B dur:2 cpbdur:2 q:31.43 aq:30.24 tex:44680 mv:17398 misc:3066 imb:90 pmb:1350 smb:6720 d:s ref:0 ;
in:7 out:9 type:b dur:2 cpbdur:2 q:31.43 aq:31.66 tex:563 mv:3293 misc:2488 imb:10 pmb:1025 smb:7125 d:s ref:0 ;
in:9 out:10 type:b dur:2 cpbdur:2 q:31.43 aq:33.03 tex:29016 mv:13680 misc:2704 imb:55 pmb:960 smb:7145 d:- ref:0 ;
in:14 out:11 type:P dur:2 cpbdur:2 q:31.43 aq:24.99 tex:188977 mv:25187 misc:5388 imb:683 pmb:2642 smb:4835 d:- ref:0 ;
in:12 out:12 type:B dur:2 cpbdur:2 q:31.43 aq:31.95 tex:30031 mv:13343 misc:2754 imb:71 pmb:918 smb:7171 d:t ref:0 ;
in:11 out:13 type:b dur:2 cpbdur:2 q:31.43 aq:32.31 tex:557 mv:3074 misc:2329 imb:6 pmb:958 smb:7196 d:s ref:0 ;
in:13 out:14 type:b dur:2 cpbdur:2 q:31.43 aq:32.46 tex:848 mv:875 misc:1781 imb:4 pmb:347 smb:7809 d:- ref:0 ;
in:16 out:15 type:P dur:2 cpbdur:2 q:31.43 aq:24.53 tex:216246 mv:25035 misc:5223 imb:743 pmb:2620 smb:4797 d:- ref:0 ;
in:15 out:16 type:b dur:2 cpbdur:2 q:31.43 aq:31.76 tex:30715 mv:12756 misc:2609 imb:67 pmb:914 smb:7179 d:s ref:0 ;
in:19 out:17 type:P dur:2 cpbdur:2 q:31.43 aq:24.52 tex:210423 mv:25534 misc:5571 imb:702 pmb:2742 smb:4716 d:- ref:0 ;
in:17 out:18 type:B dur:2 cpbdur:2 q:31.43 aq:29.85 tex:1110 mv:2871 misc:2251 imb:12 pmb:939 smb:7209 d:s ref:0 ;
in:18 out:19 type:b dur:2 cpbdur:2 q:31.43 aq:32.20 tex:26900 mv:11789 misc:2527 imb:49 pmb:832 smb:7279 d:- ref:0 ;
in:23 out:20 type:P dur:2 cpbdur:2 q:31.43 aq:24.27 tex:242250 mv:28689 misc:5397 imb:890 pmb:2813 smb:4457 d:s ref:0 ;
in:21 out:21 type:B dur:2 cpbdur:2 q:31.43 aq:30.58 tex:38845 mv:16385 misc:3098 imb:80 pmb:1158 smb:6922 d:s ref:0 ;
in:20 out:22 type:b dur:2 cpbdur:2 q:31.43 aq:30.48 tex:416 mv:1049 misc:1863 imb:7 pmb:366 smb:7787 d:s ref:0 ;
in:22 out:23 type:b dur:2 cpbdur:2 q:31.43 aq:32.60 tex:24525 mv:11904 misc:2619 imb:21 pmb:920 smb:7219 d:- ref:0 ;
in:27 out:24 type:P dur:2 cpbdur:2 q:31.43 aq:24.79 tex:181042 mv:24542 misc:5632 imb:631 pmb:2588 smb:4941 d:s ref:0 ;
